Id,Concurso,1ª Dezena,2ª Dezena,3ª Dezena,4ª Dezena,5ª Dezena,6ª Dezena,Ganhadores_Sena,Ganhadores_Quina,Ganhadores_Quadra
1,1,41,5,4,52,30,33,0,17,2016
2,2,9,39,37,49,43,41,1,65,4488
3,3,36,30,10,11,29,47,2,62,4261
4,3,36,30,10,11,29,47,2,62,4261
5,4,6,59,42,27,1,5,0,39,3311
6,5,1,19,46,6,16,2,0,98,5399
7,6,19,40,7,13,22,47,0,109,7147
8,7,56,38,21,20,3,5,0,100,5736
9,8,53,17,38,4,47,37,0,60,5262
10,9,55,43,56,54,8,60,0,17,2175
11,10,25,4,18,57,21,38,0,251,12590
12,11,25,15,58,37,59,38,1,148,9442
13,12,20,27,43,16,19,4,0,108,6454
14,13,47,32,50,54,18,56,0,43,2934
15,14,16,2,27,47,23,53,0,85,5323
16,15,60,12,33,52,35,51,0,57,3931
17,16,60,58,49,32,20,34,0,31,3250
18,17,10,20,6,19,51,13,1,144,9376
19,18,37,36,56,27,42,23,0,52,4484
20,19,5,25,12,10,60,24,0,159,9250
21,20,25,28,30,33,51,11,0,72,5728
22,21,49,46,6,53,33,36,0,63,5030
23,22,9,38,56,1,31,46,0,47,4865
24,23,17,52,51,59,39,37,0,74,4897
25,24,1,8,14,28,33,43,1,227,13486
26,25,56,50,55,54,24,43,0,28,2741
27,26,50,53,57,10,58,22,0,16,1823
28,27,44,33,13,51,17,20,0,99,6466
29,28,60,6,22,3,24,54,0,50,4895
30,29,14,56,58,8,43,3,1,44,5248
31,30,38,50,7,29,15,14,0,80,5885
32,31,56,19,28,48,17,45,0,103,5680
33,32,43,33,14,36,5,44,0,96,6876
34,33,5,33,49,17,42,39,1,128,8722
35,34,15,13,57,53,40,17,0,51,2627
36,35,21,57,16,23,54,4,0,39,3576
37,36,13,3,51,17,29,25,0,143,8548
38,37,22,6,7,52,38,60,0,47,3695
39,38,55,42,10,43,45,54,0,24,1999
40,39,16,37,45,52,56,12,0,73,4444
41,40,3,12,46,5,47,8,0,189,12117
42,41,38,26,35,39,12,47,1,148,10182
43,42,24,36,19,33,7,11,0,201,9580
44,43,2,58,25,6,26,17,0,75,5070
45,44,47,38,18,14,29,44,0,103,7742
46,45,30,7,37,55,44,53,0,33,3004
47,46,32,46,1,60,24,23,0,91,6263
48,47,35,17,3,48,25,56,0,210,10873
49,48,47,5,34,28,2,50,0,132,7454
50,49,33,7,43,35,13,55,1,155,9830
51,50,57,44,21,16,58,6,0,31,2800
52,51,23,24,42,25,17,47,0,143,9361
53,52,58,15,59,30,38,46,0,77,6442
54,53,42,13,3,46,38,16,0,210,10941
55,54,5,21,9,56,18,36,2,207,13067
56,54,5,21,9,56,18,36,2,207,13067
57,55,29,2,14,38,23,52,0,66,3840
58,56,51,35,59,7,20,2,0,48,2599
59,57,27,17,16,34,7,59,0,79,6173
60,58,30,49,27,37,12,44,1,65,5040
61,59,28,13,34,2,8,54,0,90,5351
62,60,38,14,21,15,3,20,0,129,7914
63,61,59,8,18,29,42,44,0,52,3866
64,62,52,13,6,24,8,31,0,119,8613
65,63,26,9,41,49,25,40,1,82,6359
66,64,8,54,50,60,23,12,0,29,2441
67,65,20,1,5,32,25,34,0,61,4932
68,66,15,26,12,33,48,13,0,102,7686
69,67,47,14,27,52,17,12,0,83,5479
70,68,53,13,3,1,12,59,0,49,4758
71,69,56,58,34,53,25,45,0,55,3661
72,70,40,17,23,43,27,58,0,95,6071
73,71,53,16,45,43,33,27,0,115,7430
74,72,19,48,43,1,34,44,0,85,7982
75,73,57,25,45,28,51,26,1,95,8222
76,74,2,24,34,50,38,37,0,40,3321
77,75,36,49,37,35,24,21,0,70,5032
78,76,33,18,23,8,17,53,0,92,6399
79,77,29,54,40,57,49,21,0,20,2635
80,78,22,32,46,12,25,31,0,103,5984
81,79,43,25,2,13,31,17,1,247,13375
82,80,51,40,37,23,48,28,0,43,4284
83,81,47,41,10,60,54,23,0,62,4870
84,82,51,36,53,29,18,15,1,77,5889
85,83,24,16,4,42,57,15,0,76,4756
86,84,10,34,4,6,25,40,0,102,5546
87,85,47,15,30,37,45,6,0,45,4312
88,86,54,21,6,34,36,22,0,48,3752
89,87,40,4,28,32,11,5,0,64,5195
90,88,45,37,29,4,43,18,0,110,6805
91,89,59,42,34,13,44,55,0,36,3847
92,90,21,26,40,54,9,52,1,74,4763
93,91,60,4,10,35,39,2,0,68,3878
94,92,5,23,51,3,1,24,0,75,5530
95,93,22,53,31,28,2,36,0,61,3795
96,94,28,51,55,18,52,8,0,25,2086
97,95,46,60,6,40,50,45,0,22,2185
98,96,4,42,58,26,7,40,1,62,3984
99,97,56,53,11,14,5,35,1,56,3441
100,98,43,33,14,31,35,13,0,89,4972
101,99,30,33,24,11,46,60,0,46,3015
102,100,46,48,30,14,29,51,0,56,3600
103,101,39,1,37,31,29,18,0,52,4653
104,102,44,42,37,56,19,20,1,73,6197
105,103,9,1,57,7,54,49,1,28,2632
106,104,13,1,38,21,52,4,0,37,2588
107,105,3,13,31,43,46,49,0,55,4875
108,106,24,16,38,5,39,35,0,94,5390
109,107,2,24,52,4,16,51,0,35,3554
110,108,60,29,34,24,21,59,0,35,2453
111,109,54,13,44,49,48,1,0,39,3881
112,110,57,58,18,31,43,52,0,35,3212
113,111,52,32,4,33,25,22,0,68,6109
114,112,37,43,34,20,12,42,1,137,8340
115,113,34,54,26,28,55,7,0,38,2572
116,114,47,54,18,6,12,37,0,71,4908
117,115,6,14,24,20,4,38,0,78,5091
118,116,36,42,32,5,13,51,0,64,5270
119,117,53,42,27,20,33,25,0,36,3822
120,118,22,57,37,9,25,56,0,53,4342
121,119,47,21,1,50,36,38,0,21,2691
122,120,46,45,16,40,27,3,0,92,7073
123,121,53,41,44,2,29,55,0,45,4554
124,122,20,43,39,11,53,17,0,83,7203
125,123,13,42,16,32,14,26,0,176,13159
126,124,52,5,34,57,15,41,1,188,14019
127,125,56,47,25,59,53,41,0,46,2784
128,126,32,28,6,10,11,40,0,83,5510
129,127,59,21,51,54,29,50,0,40,2613
130,128,23,43,3,21,9,18,0,973,11715
131,129,46,54,10,9,1,32,0,67,5320
132,130,13,42,38,49,53,29,0,155,11403
133,131,30,9,17,27,4,44,0,361,21683
134,132,44,35,50,41,9,7,0,143,12179
135,133,19,57,6,39,34,5,1,431,29264
136,134,60,32,25,36,52,4,0,82,4575
137,135,35,40,21,59,53,22,0,40,3604
138,136,17,25,45,38,1,59,0,126,7403
139,137,26,15,16,22,19,49,0,88,6701
140,138,41,14,37,5,40,27,0,86,6953
141,139,26,27,13,42,41,3,2,179,9401
142,140,55,31,46,44,41,7,0,45,4945
143,141,10,22,42,13,41,58,0,119,10533
144,142,20,59,19,54,15,8,0,162,13991
145,143,40,18,6,20,50,53,0,144,10994
146,144,8,32,44,36,45,55,1,257,23952
147,145,43,15,41,51,16,31,0,71,3389
148,146,51,34,25,60,42,32,0,51,4079
149,147,24,6,38,23,28,16,1,75,5418
150,148,32,55,59,41,58,35,0,15,2322
151,149,11,45,48,7,28,20,0,106,6290
152,150,50,44,12,55,52,54,0,56,5540
153,151,3,43,16,56,52,20,1,152,9869
154,152,12,5,15,51,58,29,0,75,5041
